data\ca\181722\12159917\554470743.html,Martin&#39;s Inn,"""Should have known better . upon checking in was told that service at Christmas \u002F Boxing Day would be minimal. DID not know that meant NON existent. We never got room clean up \u002F towel refresh or any service at all for the 1 week we were their. December 20 to December 27th. On day 2 the husband told us his wife would be around to change the bedding and towels  on Day 3 .. that never happened. When I called the front desk I was told I had to come get my own clean sheets and towels if I wanted fresh changes.. SAD \u003E\u003E  When I came to the office to pick up said sheets \u002F towels and toilet tissue as I was not going to go buy my own I was made to feel like I was inconveniencing them.  \nThe room was so stifling hot you could not breathe . As the room does not have its own thermostat I called the front desk they said they would turn the heat down. That never happened . the windows had ice build up on the inside by day 2.",1,negative,"January 17, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\587350242.html,Martin&#39;s Inn,"""Traveling from PEI back to our home.\nLooked at the ads online and opted for this one because it said soaker tub. Disappointed it was a regular tub however room was spotless. Staff were very friendly. I asked for ice and the owner went to his place and brought me his ice cube trays from home...\nThat is what made this a 5 star for me",5,positive,"June 14, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\587717143.html,Martin&#39;s Inn,"""Old Motel, and not very clean.\nThe bathroom door was so crooked that it could not even be closed...so how do you use the bathroom, we got the offer to move, but we just realized it late in the evening and had everything unpacked, therefore declined.",2,negative,"June 15, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\588650757.html,Martin&#39;s Inn,"""What a gem! What a wonderful welcome. The room is spacious, nicely decorated and has a fridge and microwave... looking out onto the garden with barbecues and picnic areas for the guests just gives you such a homely feeling... A perfect stopover",5,positive,"June 18, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\594740059.html,Martin&#39;s Inn,"""I found a bed bug under my mattress when I checked it settling in, and the air conditioning gave off such a stench that I had leave the room for several hours, when I reported the bug and the air conditioning problem, they said I could have another room, so I took another one, didn\u2019t find a bed bug, but the air conditioner stank again, horrible motel",1,negative,"July 10, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\601776603.html,Martin&#39;s Inn,"""I have stayed here many times on my way between Toronto and Montreal. Consistently clean and quiet and very good quality beds and linens.  Nice quiet location which I like, but still only 5 minutes drive  from the busy commercial area of Cornwall to get food, etc. The furniture, etc is a bit older but everything is clean and in good working condition.  Nice grounds facing a wooded area, picnic tables, BBQ, benches, etc. Over-all great value and reliable.  The owners are very accommodating and friendly.  I will be back for sure.",4,positive,"August 1, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\604459565.html,Martin&#39;s Inn,"""The room smelt musty and the ac was so loud you seriously could not use it. Their was two mugs that were dirty and a kettle but nothing to put in, tea coffee whitener.We found a tick in the bed when we pulled back the blanket and the manager that charged me the 120. for a single room and said he would re book in the morning, did an about face because he didn't like the size of my six month old fully trained anxiety companion..",1,negative,"August 8, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\615233711.html,Martin&#39;s Inn,"""This was a trip on a budget. So I found the perfect place for $65 a night. The place is very clean. Very confortable bed,sheets and pillows. Great TV. Fridge, microwave and all. I stayed there 2 nights and would go back without hesitation. ",3,negative,"September 9, 2018",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\669056142.html,Martin&#39;s Inn,"""Driving across Canada and needed a place to stay. The guy at the desk was nice and called us to make sure we would be able to get into our room with a late arrival. The motel looked older but the room was decent for the money. ",3,negative,"April 25, 2019",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
data\ca\181722\12159917\695576094.html,Martin&#39;s Inn,"""I stayed here on a trip from Toronto to PEI and it was clean and comfortable, with good service. The wifi worked well, and the washroom was spotless. Recommended for travellers on a budget. I'd stay here again.",4,positive,"August 4, 2019",2200 Vincent Massey Dr,"('Cornwall',)",Ontario,K6H 5R6
